我在 2011 年成为《法律与秩序》剧迷。 我当时正从中风中康复。 回家后，我尽量每一集都会追。 在 20 年内连续刷同一部剧是件难事。
大家都喜欢鲍勃，因为他在电影内扮演着一个备受青睐的角色。 鲍勃讨厌它，因为他一点也不像那个角色。 吉姆叫鲍勃说出他的角色的口头禅。 对鲍勃来说，这简直是强人所难，于是他勃然大怒。
我小的时候跳了 11 年的芭蕾。 我深爱它，它融入了我的呼吸。 我对它热爱到了想要成为顶尖芭蕾舞者的地步。 我的教练告诉我我还没有准备好，我为此感到非常伤心。
五月是哈利（Harry）最喜欢的月份。 哈利五月份过生日，而且学校也放假了。 每年五月，哈利都会去乡下看望他的朋友玛丽（Mary）。 终于，玛丽和哈里订婚了。
吉娜（Gina）去参加她的 6 小时课程。 课程在健身房进行。 吉娜讨厌健身房，以及与健身房有关的一切事物。 当第一天老师让他们跑步的时候，她吓坏了。
我需要在外面天黑之前把割完杂草。 我在天黑前 2 小时赶回了家里。 割草机没油了。 天上开始下雨了。
在一个下雨的晚上，苏珊（Susan）把车停在高速公路上的一个休息站休息。 在休息站里，她发现一个陌生的男人正聚精会神地盯着自己。 这使她感到不安，所以她很快就离开了。 苏珊冒雨开车到下一个休息站，走了进去。
我和我的祖父母一起去兜风。 我在后座睡着了。 一只狐狸飞奔过马路。 我祖父重重地踩了刹车。
每年夏天，布拉德（Brad）和艾希礼（Ashley）都会去河里游泳。 有时他们会在轮胎里面漂浮几个小时，感受凉爽的河水。 他们今年不能再下河了。 艾希礼摔断了腿，不能下水了。
萨姆（Sam）跳上他的邮车开走了。 他想要设法完成他的路线以便尽早回家。 他开的太快了没有看见地上有个坑。 当他撞到坑时，卡车剧烈地弹了起来。
约翰（John）喜欢在工作中遇见的一个女孩。 他做了一些傻事想要引起女孩的注意。 她让他成熟些。 约翰承认他想让她更喜欢他。
奥雷莉亚（Aurelia）在生日收到了一台冰淇淋机。 她此前从没想过能做出好吃的冰淇淋。 她为自己的首次香草冰淇淋准备了全部的材料。 奥雷莉亚对自己手工制作冰淇淋的美味感到惊讶。
米里亚姆（Miriam）总是为每件事争论不休。 母亲告诉她这是一个坏习惯。 米里亚姆始终执着于细节。 后来她成为了一名律师。
吉娜（Gina）和她的朋友们获得了前往图书馆的许可。 当她们抵达的时候，大门已经锁了。 一位老师发现了坐在大厅的女孩们。 她想看看她们的大厅通行证。
我的班级和我进行了一次野外考察。 驶向目的地的时候，我们的大巴出了故障。 我们花了一个小时，等待另一辆大巴来接我们。 当大巴抵达时，我们全都上了车继续前行。
上周，我去给家人买汉堡了。 没有一个人告诉我他们想要什么调料。 每个人都在不停地改变主意。 最终我离开了，决定随便给他们带一些。
艾丽丝（Alice）周一上午 9 点有一个工作报告。 她整个周末都在练习如何做出完美的演讲。 周一她醒来发现已经 8:45 了。 她匆忙穿好衣服，迟到了 5 分钟去上班。
吉娜（Gina）拿走了她哭泣的兄弟的冰淇淋。 现在他哭了，因为他想要回来。 吉娜拒绝了并且继续吃着冰淇淋。 她母亲戳了戳她，让她把冰淇淋还回去。
安布尔真的喜欢打垒球。 她非常刻苦地练习，并尝试加入球队。 她的击打技能并不是非常好。 她必须要练习几周的击打
吉娜和她的家人来到了祖母家。 这次造访并不愉快。 她的祖父心脏病发作，去世了。 他们的祖母因中风半身瘫痪。
在圣诞节早上，我像孩子一样在凌晨 5 点就起床了。 在黑暗中，我坐在树前，欣赏着灯光。 礼物看上去很漂亮，都包好了放在树下。 我冲了两杯热巧克力，叫醒了我的丈夫。
吉姆尝试加入篮球队，但在试训时被裁了。 吉姆很懊恼，但同时憋着一股劲要证明别人都错了。 在整个休赛期，吉姆都在提升比赛技能。 他的投篮、运球、过人和防守都提高了。
玛丽的信用卡欠债超过 2000 美元。 她想还清债务。 她砍掉了不必要的开支，比如外出。 她把所有钱都存到了储蓄账户。
约翰用功地完成了家庭作业，但却哪里也找不到了。 然后，他在地板上看到了一些碎纸。 他的狗贝蒂坐在旁边，嘴里叼着一张碎纸。 约翰担心，老师会认为他在撒谎。
汤米和比利开始摆柠檬汁摊。 他们将每杯柠檬汁卖 25 美分。 一天内，他们卖出了十六杯。 汤米不知道如何分账，所以比利帮了忙。
托里很高兴要去玩不给糖就捣乱。 她穿上戏服就跑出了门。 她一拿到糖就开始吃。 很快，她肚子疼了。
比弗利准备好改变了。 她决定包起全部家当，装进车里，然后离开。 她认为德州的一切都太大了，她只会迷失。 在大城市，她可以成为任何人，做任何想做的事。
约翰感觉他好像得了感冒。 那天早上外面非常冷，他感觉很糟糕。 他打电话到公司，跟老板说他病了。 然后，约翰起床，吃了早餐，感觉好些了。
萨利喜欢每周五的披萨晚餐。 全家人点了两份披萨，一份没有奶酪。 萨利不喜欢奶酪。 这次两份披萨都加了奶酪。
今天学校就是一场灾难。 天下着雨，大家都被雨浇透了。 还发生了火灾，大家都得撤离学校。 我因为淋了几分钟雨发烧了。
菲利普一直想看看美丽的西北太平洋。 他决定找一天去俄勒冈州。 在俄勒冈州，菲利普到高山远足，吃了美味的食物。 旅程结束时，他很难过。
埃德向哥哥发起了篮球挑战。 他们俩打了一场友谊赛。 分数几乎平手。 然后埃德扣了一记灌篮。
拉里是一名贫穷的挖矿工。 拉里每天都要在矿场工作很长时间。 一天，拉里在挖矿，看见远处有闪光！ 拉里发现了一条金矿的矿脉！
吉姆的车有十年了，并开始出现问题。 他决定折旧卖了，买一辆新车。 他对可以买的最经济款车型做了很多研究。 他决定买一款也可以充电的车。
尼克在上周六遛狗。 这时，他的狗看到了其他几只狗。 他的狗没有很好驯化，开始冲它们乱叫。 对他们俩来说，这是一次又长又痛苦的经历。
厄尔今天第一次当了外祖父！ 她的女儿刚刚生了她的第一个宝宝，是个女孩。 厄尔一直在偷偷地为刚出生的外孙女攒钱。 他用为孩子建的新储蓄账户，给女儿一个惊喜。
大楼爆炸了。 楼内有五个人。 三人死亡，两人生还。 摩什抱着妹妹冲了出来。
我的女朋友收集印章。 不是那种寄信用的，而是那种用来盖章的。 她有不同的印章，都很可爱。 我想在她生日那天送她更多。
杰克打开了冰箱找吃的。 除了一些果冻，他一无所获。 他想到，他可以做花生果酱三明治。 他收集了食材，为自己做了一份三明治。
埃尔达非常想吃炸薯条。 她决定自己做一些。 她切好了土豆，把土豆条放入了热油锅里。 然后，当土豆条变成金黄色时，她捞出了土豆条。
马特一年来一直在训练跑半程马拉松。 将近比赛时，他在跑步中滑倒，伤到了膝盖。 马特错过了比赛，需要长期修养。 在可以跑步后，马特马上恢复了训练。
苏西喜欢祖母做的香蕉面包。 苏西打电话给祖母，让祖母给她寄一些。 祖母住得非常远。 一周后，祖母到苏西家，给了她一个惊喜。
乔恩和米卡想生一个女儿。 经过几年的努力，他们终于怀上了女儿。 不幸的是，宝宝有并发症。 乔恩和米卡很怕宝宝会死。
布伦登曾与迈克一起工作。 一天，迈克在布伦登站起时撤走了他的椅子。 他在坐下时摔倒了。 迈克忍不住在现场大笑起来。
卡拉受够了车库里堆积的杂物。 她决定在车库搞一次旧货出售。 她与丈夫一起把所有东西都搬了出来。 然后在周末，卡拉张贴了标牌，宣传卖东西。
我记着我去过的最恐怖的鬼屋。 那是一座老旧、摇摇欲坠、无人居住的房子，简直为恐怖而生。 房子本身就很恐怖。 最恐怖的部分在最后。
罗琳总是想做出她妈妈曾经做的饼干。 她决定向公司请一个月假，专心做饼干。 终于，她研制出完美的饼干食谱了。 她给妈妈带了一块饼干，妈妈说非常好吃。
露西喜欢写诗。 一天，露西的妈妈很难过。 露西不愿意看到妈妈不高兴。 她决定为妈妈写一首诗。
乔正邀请他的家人来过感恩节假期。 他为他们准备了一顿大餐。 他等待他的家人到来。 他们堵在路上，迟到了3小时。
杰克想创建一个YouTube帐户。 他开始拍视频博客。 它们没有得到太多关注。 然后他开始拍幽默短剧。
杰基在高速公路上开车去工作。 有一辆卡车载着一个有一匹马的笼子。 随着卡车加速，笼子打开，马掉了出来。 它落在杰基的车窗上。
凯莉和她的朋友们决定午饭去吃印度菜。 他们是餐厅里的第一批人。 这是一家自助餐，所以他们拿了他们想要的东西。 女孩们喜欢这些食物。
利维对跟他的妈妈一起制作蜡烛感到非常兴奋。 他跟她一起去了商店，帮她挑选香味。 今天是制作蜡烛的日子。 利维帮忙把蜡倒进模具里。
上周我去买了一台新电视。 在终于挑选了一台之后，我把它带回了家。 我刚从盒子里把它拿出来就注意到它坏了。 屏幕裂开了。
丹尼斯参加了一场冲浪比赛。 他一开始表现很差，摔倒了很多次。 后来随着比赛走向尾声，他表现得越来越好。 然后他得到了他一生中最棒的海浪。
本的花园不是很好，因为植物虽然生长了，但长得不好。 威尔逊向本展示了如何用草和树叶制作堆肥。 本在秋天用他失败的植物开始堆肥堆。 本往他的堆肥堆里加入树叶并一直等到春天。
乔真的很饿。 他的冰箱里没有东西可以吃。 他找不到他的手机来订外卖。 乔在网上订了一个披萨。
杰森和他的朋友们聚在一起看电影。 每个人都带了一些东西来吃。 杰森意识到他忘记带东西来了。 他跑回家，飞速为电影做了爆米花。
玛丽想为新年前夜制定一些计划。 她决定在她的公寓办一个派对。 她邀请了她所有的朋友们。 她的朋友们带了食物和饮料来派对。
吉姆带着一把巨大的枪去了湿地。 他把它架起来，等待大雁飞过。 他朝鸟群射击。 200只鸟被击中了。
珍妮丝一般每天都穿牛仔裤上班。 然而，现在她已被升职成经理。 她认为她需要穿得更正式一点。 珍妮丝为工作买了几条卡其裤。
为了在湖上乘坐独木舟，胡安妮塔醒得很早。 她喜欢在其他人醒来之前安静地划独木舟。 今天早上她惊讶地看到一只鹳飞过湖面。 在她拍照时，她失去了平衡，掉进了水里。
乔迪是一个非常努力的员工。 她总是竭尽所能，经常加班。 乔迪的老板注意到她的努力并决定给她升职。 她的努力工作得到了回报！
查理什么都吃。 即使是作为吉娃娃而言，他也很小，但他喜欢食物。 他最伟大的胜利是他偷了一个大披萨。 令人沮丧的是，他家给他找来一个刻薄的人，他们叫他兽医。
我的嫂子苏上周生气了。 她的老板卡拉指责她让太多人轮班。 苏说她没有安排有问题的那天的日程。 她拿出时间表证明她的说法。
诺拉想去度假。 她决定去参观山间小屋。 小屋很漂亮，坐落在树林中，在一条溪边。 诺拉喜欢在溪边野餐。
